"","location_key","population","population_male","population_female","population_rural","population_urban","population_largest_city","population_clustered","population_density","human_development_index","population_age_00_09","population_age_10_19","population_age_20_29","population_age_30_39","population_age_40_49","population_age_50_59","population_age_60_69","population_age_70_79","population_age_80_and_older"
"1","US_AK",733391,424916,391925,NA,NA,NA,NA,NA,NA,115198,111045,128022,113254,102310,116061,82608,35021,13322
"2","US_AL",5024279,2512466,2681479,NA,NA,NA,NA,NA,NA,621981,660970,701742,680141,613936,666838,645125,414601,188612
"3","US_AR",3011524,1585221,1654473,NA,NA,NA,NA,NA,NA,411655,409232,438604,423461,368838,394967,403526,264192,125218
"4","US_AS",49710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","US_AZ",7151502,4026510,4085461,NA,NA,NA,NA,NA,NA,1080975,1054611,1112760,1095491,905754,930631,988546,646511,296692
"6","US_CA",39538223,20468055,20856543,NA,NA,NA,NA,NA,NA,5297960,5594857,6134141,5908592,5079947,4954811,4286163,2632208,1435918
"7","US_CA_SFO",873965,421640,414388,NA,NA,NA,NA,NA,NA,61427,57439,153489,159776,106675,102079,93893,63033,38217
"8","US_CO",5773714,2978798,2984005,NA,NA,NA,NA,NA,NA,782811,743944,854059,875080,741220,776641,653732,357233,178082
"9","US_CT",3605944,1818390,1933634,NA,NA,NA,NA,NA,NA,416756,474984,464289,464250,499839,515148,456067,277479,183211
"10","US_DC",689545,297434,335235,NA,NA,NA,NA,NA,NA,58373,62674,138612,106072,69265,70525,65989,38782,22377
"11","US_DE",989948,499890,535860,NA,NA,NA,NA,NA,NA,120699,127709,137209,128535,126191,132876,135670,86094,40766
"12","US_FL",21538187,10895349,11483510,NA,NA,NA,NA,NA,NA,2371551,2552497,2815527,2770363,2671958,2785900,3052085,2211881,1147096
"13","US_GA",10711908,5704118,6019096,NA,NA,NA,NA,NA,NA,1589223,1582966,1624897,1721488,1511074,1410843,1266276,707359,309088
"14","US_GA_ATL",3460949,1670689,1790260,NA,NA,NA,NA,NA,NA,455082,472818,503162,513822,494881,455071,325350,161802,78961
"15","US_GU",153836,80776,78881,NA,NA,NA,NA,NA,NA,25383,25702,25582,20667,18869,19099,13596,7394,3365
"16","US_HI",1455271,764289,767404,NA,NA,NA,NA,NA,NA,179021,172637,215044,201768,178560,202191,195458,115228,71787
"17","US_IA",3190369,1578224,1623355,NA,NA,NA,NA,NA,NA,397429,402753,437058,396609,364027,416686,373001,255350,158665
"18","US_ID",1839106,961984,963354,NA,NA,NA,NA,NA,NA,281927,264099,266390,255515,210220,230619,218863,131614,66092
"19","US_IL",12812508,6571414,6875083,NA,NA,NA,NA,NA,NA,1683851,1756136,1866573,1874053,1647898,1703221,1475643,918947,520175
"20","US_IN",6785528,3417226,3558501,NA,NA,NA,NA,NA,NA,891408,921931,936258,923133,835962,896082,802409,498505,270040
"21","US_KS",2937880,1507814,1543893,NA,NA,NA,NA,NA,NA,410464,397191,434293,393807,347409,386769,334702,216322,130751
"22","US_KY",4505836,2305740,2399482,NA,NA,NA,NA,NA,NA,574712,580379,624308,634768,573246,614156,577473,356669,169511
"23","US_LA",4657757,2298746,2414412,NA,NA,NA,NA,NA,NA,608165,610408,692774,616907,550141,604586,538574,333370,158234
"24","US_MA",7029917,3253902,3503619,NA,NA,NA,NA,NA,NA,727185,824328,947420,876627,873968,897069,803555,493949,313420
"25","US_MD",6177224,3048317,3276183,NA,NA,NA,NA,NA,NA,753671,796216,859584,846380,835344,842551,735894,423674,231187
"26","US_ME",1362359,676661,710758,NA,NA,NA,NA,NA,NA,139222,159477,157999,162366,177215,207234,196573,121204,66129
"27","US_MI",10077331,4830759,5052206,NA,NA,NA,NA,NA,NA,1153045,1300485,1260194,1224079,1212834,1355475,1212622,743996,420234
"28","US_MN",5706494,2857869,2917202,NA,NA,NA,NA,NA,NA,733192,727957,792297,763154,718287,763888,641260,399136,235898
"29","US_MO",6154913,3159405,3311378,NA,NA,NA,NA,NA,NA,790305,815634,880980,826424,765190,838581,781730,506642,265299
"30","US_MP",47329,22286,19704,NA,NA,NA,NA,NA,NA,6179,8143,5702,3331,5887,7098,4189,1195,266
"31","US_MS",2961279,1525920,1627395,NA,NA,NA,NA,NA,NA,414938,423569,435494,415980,363520,391077,366193,234624,107920
